Dataset,Encodings,Run_3,Run_4,Run_5,Run_0,Run_1,Run_2
ace_vaxinpad,ace_vaxinpad_binary_centered_levels_1_and_2_,21.53149492900002,21.76694114700149,21.754082567997106,20.88575411506463,20.847979618003592,21.150070503004827
ace_vaxinpad,ace_vaxinpad_binary_shifted_levels_1_and_2_,21.840645188000053,22.009670069001004,21.966191662999336,21.003920326940715,20.98985992895905,21.287949132034555
ace_vaxinpad,ace_vaxinpad_discretized_centered_levels_1_and_2_,30.321533266000188,30.38596039699769,30.37638409400097,28.740059038973413,28.81695029803086,29.28208601998631
ace_vaxinpad,ace_vaxinpad_discretized_shifted_levels_1_and_2_,30.305075030000356,30.396818212000653,30.51168039199547,28.779231025953777,28.86147182004061,29.30229310505092
acp_anticp,acp_anticp_binary_centered_levels_1_and_2_,31.7751934439998,31.631263729002967,31.671899897999538,30.269794785999693,30.303933062939905,30.79558949091006
acp_anticp,acp_anticp_binary_shifted_levels_1_and_2_,31.73219365899968,31.67579829600072,31.779073801997583,30.414491156931035,30.5258395569399,31.059418162098154
acp_anticp,acp_anticp_discretized_centered_levels_1_and_2_,43.57960167700003,43.2699899170002,43.48142460099916,41.354735307977535,41.46609010803513,42.066689259023406
acp_anticp,acp_anticp_discretized_shifted_levels_1_and_2_,43.70468025399987,43.400025207,43.70476506699925,41.41059335705359,41.51723252888769,42.16009517002385
acp_iacp,acp_iacp_binary_centered_levels_1_and_2_,22.713154235000275,22.540380940998148,22.522779867998903,21.60437108494807,21.6479875050718,21.936120819998905
acp_iacp,acp_iacp_binary_shifted_levels_1_and_2_,22.715811153999766,22.46693667600266,22.417033243000333,21.554109825985503,21.550656047067605,21.857269593980163
acp_iacp,acp_iacp_discretized_centered_levels_1_and_2_,30.953432739000164,30.649401810998825,30.55251892399974,29.15662570402492,29.308294937945902,29.723848548950627
acp_iacp,acp_iacp_discretized_shifted_levels_1_and_2_,30.982531161000225,30.75262745800137,30.673572469000646,29.214656142983586,29.379581611021425,29.79085753392428
acp_mlacp,acp_mlacp_binary_centered_levels_1_and_2_,39.73133754699984,39.75690245700025,39.67212634599855,38.33967019396368,38.37746815604624,38.93261854897719
acp_mlacp,acp_mlacp_binary_shifted_levels_1_and_2_,39.97442501600017,39.714472939998814,39.688431665999815,38.39161381800659,38.42314597906079,38.99466788896825
acp_mlacp,acp_mlacp_discretized_centered_levels_1_and_2_,55.08329857599984,54.683165684000414,54.66670934300055,52.37728343100753,52.44625924201682,53.25331309100147
acp_mlacp,acp_mlacp_discretized_shifted_levels_1_and_2_,54.89781707100019,55.137507522002124,55.10601656300423,52.55503550602589,52.548171406961046,53.388628441956826
afp_amppred,afp_amppred_binary_centered_levels_1_and_2_,241.0616081090002,238.3748101960009,242.16300885699457,232.61549447500147,232.475902208942,235.66636667598505
afp_amppred,afp_amppred_binary_shifted_levels_1_and_2_,263.31559142299966,259.7341219970004,264.0158834370013,253.35547229403164,253.0039203480119,256.97621565603185
afp_amppred,afp_amppred_discretized_centered_levels_1_and_2_,401.1684925910004,399.6132362629978,402.1021617400038,386.24139847501647,385.6658945559757,390.5775631510187
