alanine,CC(C(=O)O)N
arginine,C(CC(C(=O)O)N)CN=C(N)N
asparagine,C(C(C(=O)O)N)C(=O)N
aspartic,C(C(C(=O)O)N)C(=O)O
cysteine,C(C(C(=O)O)N)S
glutamine,C(CC(=O)N)C(C(=O)O)N
glutamic_acid,C(CC(=O)O)C(C(=O)O)N
glycine,C(C(=O)O)N
histidine,C1=C(NC=N1)CC(C(=O)O)N
isoleucine,CCC(C)C(C(=O)O)N
leucine,CC(C)CC(C(=O)O)N
lysine,C(CCN)CC(C(=O)O)N
methionine,CSCCC(C(=O)O)N
phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N
proline,C1CC(NC1)C(=O)O
serine,C(C(C(=O)O)N)O
threonine,CC(C(C(=O)O)N)O
tryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
tyrosine,C1=CC(=CC=C1CC(C(=O)O)N)O
valine,CC(C)C(C(=O)O)N
